term1,term2,how_similar_are_the_two_combinations,how_similar_are_the_two_combinations.variance
these obligations,that share,1.25,0.433
four photographers,those photographers,4.25,2.046
three tribes,that league,1.5,0.5
three offices,four pubs,1.5,0.866
two developers,two producers,3.25,2.278
those pains,every pain,5.25,1.479
those bonds,those licences,3,1.414
two days,this day,4.25,1.92
three opinions,three lengths,2.25,1.639
this cottage,this horse,2.25,2.165
these hospitals,this hospital,4.75,1.09
these families,those counties,1.25,0.433
four ships,four guns,2.25,1.299
these shares,those days,1,0
these bottles,that fear,1,0
four leagues,this league,4.25,1.92
four castles,this restaurant,1,0
four cities,those towns,3.25,1.92
three battleships,three boats,2.25,1.09
four counties,those counties,3.75,1.92
these musicians,all photographers,1.5,0.866
these trains,that train,4.5,2.179
those days,that country,1,0
those leagues,every league,4.5,2.291
four days,that day,3.75,1.639
every impulse,every team,2,1.225
three goats,that cow,1.75,0.829
this aircraft,that aircraft,3.75,2.278
this bed,this car,3.25,0.433
those kingdoms,this city,2.25,1.299
that fund,every fund,5.5,0.866
this manufacturer,every manufacturer,4.5,2.062
those extensions,this extension,3.75,2.773
two hotels,this hospital,2,1
two rabbits,two dogs,1.5,0.866
this interest,every gain,1.75,0.829
four villas,those hotels,2.75,0.829
these bills,these licences,1.75,1.299
all masses,every mass,4.5,1.5
every house,every bottle,3.5,1.803
four turtles,four days,1.5,0.5
three kingdoms,those kingdoms,5,1.581
these statutes,every assignment,1.25,0.433
those makers,every builder,2,1.732
these counties,every land,1.25,0.433
those buses,those ships,3,1.581
these tables,that library,2.5,1.118
every bond,every motorcycle,2,1.732
those offices,all departments,2.75,1.299
these occasions,this occasion,5.5,1.118
these horses,this cat,1.5,0.866
those impulses,that epoch,1,0
these clouds,those clouds,4.5,2.062
these designers,every designer,4,2.236
that artist,that future,2.75,1.09
two pubs,two developers,2,1.225
that cat,all horses,1,0
these fears,these bottles,1.5,0.866
four developers,four countries,1.5,0.866
those clouds,those painters,2,1.225
three bottles,this bottle,4.5,1.5
those offices,this hotel,1.25,0.433
these departments,this agency,2.25,1.09
two clubs,those clubs,4.5,2.179
three trains,that train,4,1.732
these cancers,all cancers,4,1.871
that capital,that profit,3.25,1.479
two treaties,three treaties,4.75,1.09
four companies,those companies,5.25,0.433
these towns,this town,4,1.732
that agency,all agencies,4,2.121
all interests,all mortgages,1.5,0.5
two cyclones,three hurricanes,1.25,0.433
two households,four families,1.75,1.299
three makers,four nations,1,0
two tornadoes,three cups,1.75,1.299
four cats,these cats,5,2.345
three platoons,four troops,3.5,2.598
those funds,all capitals,1,0
those desires,all desires,4.5,1.118
these countries,these suburbs,2,1.732
four cups,this cup,4.5,2.062
all hotels,all dances,2.25,2.165
three cats,those cows,1.5,0.866
two masses,three masses,5.5,1.5
four cities,this city,5.25,0.433
all motorcycles,all ships,2.5,1.5
those tribes,all leagues,1,0
these moths,these dances,1.25,0.433
four guns,four missiles,3.75,1.92
two shirts,three households,1.75,1.299
two libraries,three lengths,1,0
four parties,this party,2.5,1.658
two pigs,those pigs,4.75,2.165
all moments,every epoch,1,0
four laws,four buses,2.5,1.5
three manufacturers,three chairs,1.5,0.5
this phone,this share,1.75,0.829
two ships,four cats,1,0
every investment,every producer,3.75,1.639
four cities,four domes,2.25,1.299
three treaties,four villas,1,0
four boroughs,this borough,5,1.225
four tables,four boats,1.5,0.866
those horses,that horse,4.75,1.09
that train,every train,5.25,0.433
two libraries,those libraries,5.5,1.118
two shirts,these gloves,1.25,0.433
two lengths,four chairs,1.75,0.829
this wind,that cloud,1,0
two villas,these castles,2.75,1.785
four beds,four cups,1,0
all rabbits,every rabbit,4,2.55
all designers,all desires,1.5,0.866
two parties,those parties,4.5,2.062
this company,every company,5,1
two counties,two states,3,1.225
those masses,all masses,5.5,0.5
three cents,four cents,5,2.345
those pants,this coat,1,0
that cup,every cup,3,2.121
three tables,three shares,2.5,1.118
two rifles,three troops,1.75,1.299
three funds,that income,2.25,2.165
that ship,all ships,2.75,1.785
two masses,three conventions,1,0
these developers,all developers,3.5,2.062
three companies,four companies,4.25,2.046
four phones,four cottages,3,1
these lengths,this length,4.5,2.062
these laws,these obligations,1,0
these interests,that interest,4.75,2.165
this village,that village,4.75,2.278
four buses,four ships,2.25,1.09
this library,this town,2,1.732
those guns,that day,2.25,1.299
those passions,that agency,2.25,1.299
that party,that corner,2.5,2.062
two bulls,two elephants,1.75,1.299
this club,this office,2.5,2.062
four castles,four hotels,2,1
four extensions,this extension,4.25,2.385
every hotel,every village,2.5,2.598
four states,those cities,3,1.871
this cloud,that cloud,6,0.707
two cats,four horses,2.75,1.09
three troops,this league,1.75,0.433
three cruisers,four boats,3,1.581
four dogs,that horse,1.25,0.433
three tribes,these clubs,1.75,0.829
these credits,this credit,4.5,2.062
this statute,that statute,4,1.871
two musicians,three artists,3,1.581
those tables,every table,3.5,1.803
these lands,these states,3.75,1.785
those pigs,those rats,1.75,0.829
those balls,this feast,1.25,0.433
every producer,every household,2.25,2.165
two manufacturers,four manufacturers,4.25,2.046
these boats,this boat,3.75,0.829
two pickups,three pickups,3.25,2.278
that moment,that period,3,1.871
all restaurants,every hotel,2,1
all designers,all licences,1,0
all nations,every length,1,0
four bonds,these conventions,1.5,0.5
three agencies,this company,1.75,0.433
these axes,those buses,1,0
these cottages,this cottage,5.5,0.5
all leagues,all ships,3.5,2.598
these musicians,every musician,4.5,1.118
four libraries,four villas,1,0
three boroughs,three swords,1.5,0.866
those libraries,those guitars,2.75,2.046
two builders,this manufacturer,1,0
three kingdoms,that kingdom,5.25,0.433
three vans,four cows,1.5,0.866
this moment,that moment,5.5,1.118
this office,every household,1.25,0.433
those temperatures,all temperatures,4.5,2.179
two cannons,four cats,3,2.449
all trucks,every obligation,1.5,0.866
these ships,that ship,3,2.121
every life,every stitch,1.75,1.299
these cities,these conventions,2,0.707
this fear,this pain,2.75,1.479
three bills,four laws,3.5,2.598
those ships,this borough,1.5,0.5
those masses,all extensions,1.25,0.433
three fighters,four battleships,2,1.225
those automobiles,those boats,4,1.871
two bears,this dog,2,1.732
those dogs,this assignment,1.5,0.866
those states,that library,1.25,0.433
these funds,this fund,4,2.236
three teams,four libraries,1,0
every funeral,every wedding,1.25,0.433
two pigs,that cow,1,0
three tribes,that league,1.75,1.299
two photographers,four missiles,1,0
two bombers,three ships,1,0
this allocation,that allocation,4.75,2.278
two spoons,four coats,2.25,1.639
these troops,those farmers,1.75,0.829
those manufacturers,this constructor,3.75,0.433
three chairs,those chairs,3,2.121
three moments,these days,1.5,0.866
all desires,all families,2,1
four towns,four guns,2.25,1.639
three cities,these kingdoms,2,1.225
two producers,three departments,2,1.225
all beds,all parties,3,2
three trains,four boats,1.75,0.829
these nations,that town,1.25,0.433
two companies,that family,1.5,0.866
every hospital,every league,1.25,0.433
this pub,this extension,1.25,0.433
those offices,this office,5.75,1.09
two states,four states,2.25,1.639
four countries,this kingdom,1.75,0.829
that interest,all investments,2.25,1.299
those tribes,this tribe,4.25,1.479
four frigates,four trucks,1,0
three producers,four households,2.5,1.5
these bonds,this licence,2,1.225
three hats,three lions,1.75,1.299
three libraries,those libraries,4.5,2.062
two corners,four dogs,1,0
this cancer,that cancer,5.25,0.829
four assignments,this statute,1,0
two bombs,this gun,1.75,1.299
four missiles,those missiles,3.75,1.92
four boroughs,four towns,2.25,1.09
two guns,three libraries,1.75,1.299
four masses,four days,2.75,1.299
two lengths,this length,2.75,2.487
every cloud,every manufacturer,2,1
these pants,those dresses,3.5,1.803
three parties,these balls,1.75,1.299
these dances,that dance,5.25,0.433
these bottles,those bottles,4.75,2.278
two trucks,three trucks,5.25,0.829
four committees,four offices,1.5,0.866
all hotels,all opinions,3.5,1.803
this table,that share,1.25,0.433
all checks,every ship,1.25,0.433
three families,these households,2.5,1.658
these days,those desires,1.5,0.866
those towns,this hospital,2.5,1.5
these periods,that period,5,1.225
these committees,these departments,2,1.225
three battleships,three vans,1.75,0.829
three phones,this phone,1.75,1.299
these boroughs,that cancer,1,0
two rats,three cows,1.25,0.433
two departments,three interests,1.75,0.829
that allocation,all funds,1.5,0.866
three bills,four bills,4.5,2.062
all dogs,all balls,3.75,1.92
these families,this family,5.5,0.5
two artists,four designers,2.75,1.299
all dates,all boats,2.5,1.5
this investment,that train,1,0
three bonds,these statutes,1.5,0.866
all dates,every incentive,1,0
three tornadoes,four cyclones,1.25,0.433
those passions,that momentum,2.25,1.299
these guitars,this guitar,5.5,0.5
all ships,every weight,1,0
this nation,every team,1.25,0.433
those bottles,that bottle,4.25,2.046
this city,this licence,1.5,0.5
these buses,this aircraft,1.75,1.299
four farmers,these makers,1,0
three tables,four hotels,1.5,0.866
those photographers,that ship,1,0
these offices,every office,4,2.236
these clubs,that statute,1.75,1.299
three committees,those committees,3,1.871
two shares,three shares,3.5,2.5
all weights,every check,1.75,0.829
four teams,these troops,2.5,2.062
four licences,that law,1.25,0.433
these teams,that team,5.75,0.433
three kingdoms,four states,2,1
three clubs,three houses,1.25,0.433
three villages,this village,3,1.871
three treaties,that acceptance,1.75,1.299
those developers,those makers,2.25,1.639
two treaties,these treaties,4.75,0.829
three clubs,that club,4.5,1.118
this bond,that committee,2.5,1.5
these kingdoms,those kingdoms,5.25,1.299
these libraries,that library,4,1.732
four hotels,four bottles,3.25,2.487
these designers,those designers,5.5,0.5
this cottage,all cottages,5.5,1.658
these cancers,all cancers,3.75,2.773
these bombs,these missiles,2.25,2.165
these households,this moment,1.5,0.866
two occasions,three occasions,3.25,2.278
all extensions,every extension,5,1.225
this credit,this bed,2.75,2.046
those guns,all guns,3,1.225
those producers,those bills,2.25,1.09
these leagues,those leagues,6,0.707
three ships,four ships,5,2.345
all families,every household,1,0
two buses,four ships,1.25,0.433
those counties,that county,4.5,2.062
that gain,every investment,2,1.732
those ships,this borough,1,0
four troops,this family,1.5,0.5
two corners,four parties,2.25,1.299
two cannons,four clubs,1,0
those lengths,that length,2.5,1.118
these trucks,those celebrations,1.75,1.299
two buses,four cruisers,2.25,1.09
these credits,all credits,5,0
all manufacturers,all producers,3.25,1.92
three extensions,those extensions,5.75,0.829
four cities,four goats,2.25,1.299
two opinions,three opinions,4,2.236
these musicians,those musicians,3.75,2.773
this obligation,that obligation,4.25,2.046
those hats,this celebration,1.25,0.433
this land,every borough,1,0
all moments,every day,1.25,0.433
three families,this department,1.5,0.866
three weights,four weights,4.25,1.92
two pigs,four committees,1.25,0.433
those clouds,every cloud,3.25,1.479
those households,those dates,1.5,0.866
this village,this family,1,0
those lengths,those trucks,1,0
this dance,this tribe,2.75,2.046
all beds,all companies,1.5,0.5
that mass,all masses,2.5,1.658
those fears,that fear,4.25,1.299
those leagues,those tribes,1.75,1.299
this team,that pub,1.25,0.433
four leagues,those clubs,2.75,1.479
these clubs,this club,3.5,2.062
this manufacturer,every architect,1,0
two boroughs,those boroughs,3.75,1.92
that kingdom,all states,1.75,0.829
this bed,that bed,5.5,1.118
those fears,those pains,2.75,1.785
four bombs,four rifles,1.75,1.299
these villas,that country,2,1.732
four hospitals,those hospitals,4.75,0.829
those teams,this family,2.5,1.658
these shirts,this shirt,5.25,0.433
this state,this convention,2.5,0.866
three leagues,four committees,1,0
three elephants,these pigs,1.25,0.433
that opinion,all opinions,4.25,1.92
two periods,that period,3.25,1.785
four cottages,these castles,2.25,0.829
three trains,that bus,2.25,1.299
four trains,that train,4.5,1.803
two conventions,two extensions,2,1.732
this dog,all dogs,4.5,2.062
these gloves,those gloves,5.75,0.433
three families,three boats,3,1.225
these obligations,this licence,1,0
two dates,three dates,2.75,2.046
this kingdom,this state,3.75,2.773
this manufacturer,every manufacturer,4.75,2.487
two dollars,two periods,3,1
two rats,three dogs,1.75,1.299
those phones,those shares,2,1.225
three ceremonies,three cars,2.2,1.47
two beds,three beds,4.75,1.639
that temperature,every mass,1.25,0.433
all nations,every nation,4,1.581
all motorcycles,all guns,2.25,1.299
every hotel,every pub,1,0
these phones,that phone,3.25,1.785
three guns,those bombs,1.25,0.433
four tornadoes,four periods,1,0
two cars,four pounds,1,0
these agencies,this committee,1.75,0.829
these obligations,this check,2.5,2.598
those profits,this interest,2.75,1.785
those libraries,those musicians,1.25,0.433
two teams,four teams,4.25,2.385
four funds,four trains,1.5,0.5
every opinion,every department,1.25,0.433
those incomes,that margin,1.25,0.433
four elephants,four goats,1.5,0.866
this ring,that bed,1.75,1.299
that gain,every credit,1.25,0.433
that opinion,every convention,2.5,1.5
two phones,two laws,1.75,0.829
this borough,every borough,4,1.732
those villages,this borough,1.75,1.299
these counties,that town,3.25,1.479
these hospitals,these restaurants,3.5,1.803
that land,all lands,4.5,2.062
those gains,all gains,4.5,2.062
three departments,that department,4.75,1.09
two towns,four opinions,1.5,0.866
those pubs,this hotel,1.25,0.433
those villages,those moments,1.75,1.299
two families,two guns,2.5,2.062
those guns,this ship,1,0
that gain,all gains,3.75,2.165
two companies,two departments,2,1.225
four cities,this village,1,0
four castles,this restaurant,2.5,1.5
three opinions,four tables,2.5,1.5
every ship,every train,1,0
two offices,this office,4.25,1.09
those committees,every agency,3.75,2.165
two teams,those houses,1.25,0.433
this state,that state,6,0.707
this treaty,that office,1,0
four villas,this villa,5,1.225
these makers,those nations,1.75,1.299
four tribes,four bombs,3.5,2.5
every horse,every dog,2,1.225
those photographers,that ship,1.25,0.433
that bus,that car,4.5,0.866
two farmers,two clubs,1.75,1.299
all departments,all cars,1.25,0.433
three axes,these axes,3.75,2.773
these treaties,that convention,2.5,1.658
two lengths,four masses,1,0
every credit,every cow,1.5,0.866
two missiles,four nations,2,1
this bond,that bond,5.75,0.433
four artists,four occasions,3.25,1.479
these rings,those rings,6.25,0.433
every celebration,every ceremony,2.5,2.598
all phones,all makers,2,1.225
all designers,all moments,3,1
those extensions,that restaurant,1,0
every borough,every cancer,1,0
this family,that gold,1.25,0.433
that opinion,all laws,1,0
these occasions,those socks,1.5,0.866
these villages,those cities,1.75,1.299
three artists,four manufacturers,1,0
two families,those companies,1.75,0.829
these conventions,this city,2.75,2.487
two battleships,three battleships,4.25,2.046
those photographers,those producers,2.25,0.829
those cities,that land,2.25,1.299
that cow,all dogs,2.5,1.5
this state,this convention,1.75,1.299
these occasions,every occasion,4.75,2.278
those companies,that wind,1.75,1.299
four chairs,this bed,1.5,0.866
these extensions,those masses,2.5,1.5
three committees,these tribes,1.25,0.433
three occasions,four boroughs,1.25,0.433
this investment,that investment,5.5,0.5
two teams,three houses,1,0
two buses,four boats,1.75,1.299
all capitals,all mortgages,2.75,2.487
all trains,every weight,1,0
that assignment,all licences,2.25,1.299
three fighters,four hotels,1.75,0.829
these bombs,those architects,2.25,1.639
those dogs,every dog,5,1.225
these beans,this library,1,0
those photographers,all photographers,5,0.707
two shares,those obligations,1,0
four manufacturers,four bombs,2.25,1.639
those moments,this moment,2.25,1.09
three tribes,these tribes,6.75,0.433
these counties,those counties,4.5,0.866
these assignments,every licence,1.5,0.5
this celebration,every celebration,4.25,1.09
these chairs,every chair,4.75,0.829
three libraries,four cottages,2.25,0.829
these gains,this credit,2,1.732
these gains,those interests,3,1
these boats,those boats,5.75,0.433
these moments,these periods,3.5,1.5
two rings,three helicopters,1,0
these allocations,these profits,2.25,1.09
three ships,these ships,6.5,0.5
two battleships,four tankers,1.25,0.433
four towns,four villages,2.75,1.09
four villages,that land,2.25,1.299
two clubs,that club,5,1.732
all gains,every mortgage,1.5,0.5
those treaties,that treaty,3.5,2.5
these lands,those committees,2.75,1.785
this anger,that passion,2.5,1.5
those counties,those dances,1.75,1.299
three epochs,these dates,2.5,1.658
two interests,two days,3.5,2.062
that gain,every credit,1,0
those companies,every department,2.25,1.299
this villa,all hotels,1.5,0.5
those cars,every car,3.75,1.92
four artists,four makers,2,1
two assignments,that statute,1.75,1.299
four days,these dates,1,0
all companies,all leagues,2,1.225
all restaurants,all days,1.5,0.866
those incomes,this department,2.25,1.639
these teams,those committees,1.25,0.433
these pens,that ceremony,1,0
two pubs,three shares,1,0
three designers,three musicians,1.5,0.866
three extensions,these lengths,3,1.871
two beds,that chair,1,0
three ceremonies,that ceremony,4.5,1.5
two horses,two rats,2,1.732
every cloud,every borough,2.75,2.046
two cats,four cats,3.75,1.639
these cats,this cat,3.75,2.278
these countries,these towns,2,1
these leagues,every tribe,1.5,0.866
that parish,all villages,1.75,0.829
two dances,four shillings,2.25,1.299
four horses,those horses,3.75,1.639
these frogs,these snakes,1.5,0.866
those checks,those occasions,1.75,0.829
two offices,four offices,2.25,1.639
those households,this town,1.25,0.433
four battleships,four ships,4,1.871
three trains,those buses,1,0
four rings,these rings,5,1
two checks,that check,3.75,2.278
these producers,that department,1.5,0.866
all dances,all tribes,2.25,2.165
those pleasures,that extension,2.25,1.639
three opinions,this convention,1.25,0.433
these tribes,that tribe,6,0.707
three tribes,four periods,1,0
that licence,every bill,3.75,2.165
these fears,that passion,1.25,0.433
three libraries,this library,4.5,1.5
those rings,those bottles,2.25,1.299
those trains,that train,3,1.414
these companies,this agency,2,0.707
two parties,this ceremony,1,0
two interests,two weights,2.25,1.299
three golds,those investments,2.5,1.5
every developer,every ceremony,3.75,1.479
all lands,all balls,2.25,2.165
two troops,these troops,3.5,1.5
two agencies,that committee,1.75,1.299
all laws,all households,1.25,0.433
all counties,every borough,1,0
these ventures,this venture,2,1.732
two coats,four coats,5.25,0.433
those beds,those dogs,1,0
two extensions,these extensions,6,0.707
all parties,all tribes,4.25,2.165
this law,all conventions,2,1
this cat,that cat,4.75,2.165
this mass,that profit,1,0
three producers,four photographers,1.25,0.433
that law,that share,1,0
those artists,those photographers,2.25,1.09
all occasions,every agency,1.75,1.299
two shares,two extensions,3,1.871
two musicians,two rockets,2,1.225
two occasions,those occasions,4.75,2.165
three platoons,four platoons,4.25,1.92
four nations,these nations,4,1.732
three hurricanes,four households,1.5,0.5
this capital,this mass,3.5,1.658
two companies,two leagues,3.5,1.118
this bus,that corner,1,0
two phones,two pigs,1.25,0.433
two coats,two rings,3,1.581
that desire,all desires,2.75,1.479
four assignments,these assignments,5.25,0.829
those trains,this ship,1.25,0.433
four treaties,four jets,1,0
this constitution,that statute,3.25,1.299
three checks,these obligations,1.75,1.299
three ferries,four ferries,5,1.225
three ambulances,four vans,1.5,0.5
all nations,every town,2.75,1.299
three dances,those dances,5.25,0.829
these investments,every gain,1,0
all lands,all committees,1.5,0.866
two domes,three trains,1.25,0.433
two architects,two developers,4,0.707
all desires,all families,1.75,1.299
two interests,that gain,1.25,0.433
two cruisers,two jets,1.5,0.866
these bombs,these missiles,1.5,0.866
two elephants,four elephants,5.25,1.299
four weddings,four committees,2.25,1.09
those designers,this castle,1,0
every day,every period,3.25,2.278
two blasts,four shares,1.25,0.433
all laws,every television,1,0
three farmers,four drafts,2,1.225
two developers,four parties,1.25,0.433
two laws,three epochs,1.75,0.829
those dates,this date,4.25,0.829
three pickups,four trucks,1.75,0.829
this kingdom,this passion,2.75,1.785
two ducks,four ducks,5.75,1.09
every moment,every period,3.25,1.479
this castle,this league,2.5,1.5
that dance,every party,1.75,1.299
that income,that margin,1.5,0.866
these guitars,these agencies,2.5,2.062
these profits,that opinion,2,1.225
four counties,that country,2.75,2.487
all artists,every artist,2,1.732
these horses,those horses,6.25,0.433
these clouds,every cloud,4.5,2.062
these fears,that fear,5,0.707
this temperature,that temperature,4.5,2.062
three occasions,that occasion,4,1.225
these guitars,this guitar,4.25,0.829
these libraries,that library,4.75,1.479
every opinion,every department,3,2.121
four laws,those opinions,1.5,0.866
two bonds,that statute,1.75,1.299
these credits,every credit,3.25,1.09
two committees,two teams,2.25,1.09
three producers,this manufacturer,2.25,1.639
two cents,four extensions,1.75,1.299
that temperature,that bus,1,0
all hotels,all villas,1.25,0.433
two bombs,three missiles,1.25,0.433
three parties,that dance,1.5,0.866
two kingdoms,two dates,2.5,1.5
two states,these lands,1.25,0.433
that borough,that cancer,2,0.707
three bears,three dogs,3,0.707
this bed,that bottle,2.5,1.118
this epoch,all days,1.75,0.829
this phone,that phone,6.25,0.433
two states,two elephants,3.5,0.5
four offices,these offices,6.5,0.5
all artists,every musician,1.25,0.433
three hospitals,this hospital,2.75,1.92
all counties,all towns,1.75,0.829
this length,every length,5.25,0.829
these towns,these moments,1,0
three countries,three counties,5,2.121
two troops,these troops,4.25,2.046
these laws,that obligation,1.75,0.829
this county,that state,2.75,1.92
these impulses,this team,1.25,0.433
these nations,these days,2.25,1.09
that future,all periods,2,1.225
four frigates,that train,1.75,0.433
four tornadoes,four periods,3,1.871
four households,four moments,2.75,1.299
those cheques,all cheques,5.25,1.479
three boats,four vans,1.25,0.433
these funds,this fund,5.25,0.433
three ships,four dances,1.5,0.866
two bombers,three battleships,2.75,2.487
these fears,these shares,1,0
two builders,this manufacturer,2.25,1.09
those clubs,that fund,1.75,1.299
these houses,these households,3.25,1.09
those opinions,that law,1.5,0.5
three dances,four suburbs,1,0
these designers,every musician,1.75,1.299
that hospital,that household,1.75,0.433
these counties,that county,4.5,1.5
three cars,three ships,1.75,1.299
four masses,four days,3.25,1.479
that fund,that train,1.5,0.866
these parties,this club,2.25,1.299
those villages,those buses,2,1
those temperatures,this epoch,1.25,0.433
two departments,these departments,4.25,1.92
that bill,that cheque,1.5,0.5
all interests,all manufacturers,3.25,2.278
these profits,that opinion,1,0
that country,that obligation,2.5,2.062
these departments,those houses,3,2.121
three checks,three occasions,2.75,1.785
two ventures,this venture,4.75,1.299
this tribe,this period,2.75,1.785
three dances,those dances,4.25,2.165
two ovens,four beds,2.25,1.299
this party,all ceremonies,1,0
four lengths,this stretch,1,0
two weights,four lengths,1.5,0.866
those lands,that land,2.25,1.639
three families,four families,5,1.732
two chairs,two tables,1.5,0.5
two designers,four artists,1.25,0.433
two restaurants,four restaurants,4.25,2.385
these offices,that office,2.75,1.785
this town,this table,2.25,1.639
this wind,this extension,1.75,0.829
all interests,every castle,1.75,1.299
these tables,that table,2.75,2.487
four cottages,four hospitals,1.5,0.5
this agency,that department,2,1.225
all tables,every shirt,1.25,0.433
this department,every committee,1.5,0.5
two flutes,two guitars,2.25,1.299
two ventures,two corners,1.5,0.866
all cars,all ships,3,2.121
those bills,this bond,2.25,2.165
two households,two offices,2.5,2.062
all weights,every weight,3.75,2.385
these clubs,that club,4,1.871
three makers,four designers,2.75,1.785
four fighters,four frigates,1.75,1.299
this bed,that bottle,1,0
these artists,this artist,4.75,1.09
those incomes,those shirts,1.25,0.433
this bed,that joy,1.75,0.829
these treaties,those conventions,1.25,0.433
all developers,every assignment,1.25,0.433
three bombers,four elephants,1.75,1.299
three villages,three rifles,1.75,0.829
these pants,this temperature,1,0
that check,every obligation,1.5,0.5
these agencies,that gain,1.25,0.433
two lions,three cats,1.25,0.433
two rings,four rings,4.5,1.5
that guitar,all guitars,4.25,1.299
two jets,that bus,1.25,0.433
two cities,four villages,1.25,0.433
three committees,that nation,1.5,0.866
three swords,four kingdoms,2.25,1.639
four drafts,this draft,3.5,2.179
these investments,that investment,4.5,1.118
those bonds,those corners,2.75,1.479
these assignments,all statutes,1.5,0.866
two pennies,four pennies,3.75,1.639
two ships,three ships,5.75,0.433
those pants,those shirts,1.75,1.299
three shares,four extensions,1.25,0.433
these gloves,every shirt,1.5,0.866
these committees,this agency,2.75,1.785
that statute,every assignment,1,0
all bonds,every bond,5.5,0.5
that hotel,every hotel,2.5,1.118
that constitution,that convention,2.25,0.829
three pubs,three balls,2,1.732
those shirts,this shirt,5.5,0.5
four cups,that cup,3.75,1.639
those teams,that team,5.75,0.433
these agencies,those agencies,3.5,2.5
two dogs,four dogs,3.75,2.385
two opinions,three lengths,1,0
these shirts,those shirts,5.25,0.829
this table,that period,1.75,1.299
four funds,four bottles,3,1.225
these butterflies,this butterfly,5,1.225
this ring,that family,1,0
two platoons,three platoons,5,1.225
those committees,those teams,2.5,0.866
those funds,those mortgages,1.75,1.299
these butterflies,those fighters,3,1.871
those dogs,those guitars,1.75,1.299
three phones,three rings,1.25,0.433
those hotels,every castle,1,0
every country,every village,2.5,2.062
two battleships,four rockets,1.75,0.829
two drafts,that treaty,1.75,1.299
these villages,these boats,3.25,0.433
this land,that pleasure,1,0
two opinions,this opinion,5,0.707
four bottles,this bottle,4.5,0.866
two frigates,four photographers,1.25,0.433
those artists,that artist,4.75,2.165
three nations,these troops,2,1.225
four days,those days,5,0
that bus,that car,3,1.581
four states,this state,5.25,0.829
those interests,that venture,1.5,0.5
that restaurant,that car,1.5,0.866
these missiles,those missiles,5,0.707
all towns,every borough,1.75,1.299
two photographers,two clubs,2.75,1.92
four cows,four lengths,1,0
every developer,every law,2.25,1.299
those trains,this train,4.75,1.09
those conventions,this decree,2.5,1.5
two cars,four hospitals,1,0
two clubs,three boats,1.5,0.5
this bottle,that cup,1.25,0.433
these periods,this manufacturer,1.25,0.433
four weights,four trains,2.25,1.299
three agencies,three pickups,2.25,0.829
these ceremonies,every party,1,0
two boats,three troops,2.5,1.118
three cities,four villages,2.25,1.299
those hats,this constitution,1,0
two committees,three towns,1,0
four funds,that fund,2.75,1.299
those boroughs,every state,1.5,0.866
these bombs,every bomb,6.25,0.433
three assignments,that assignment,3.75,1.639
those guns,that convention,1.75,1.299
those hats,this celebration,1.75,1.299
those possessions,those families,3.25,2.278
these houses,these dates,1.75,1.299
two rabbits,three horses,1.75,1.299
four tribes,four bombs,2,1.225
those cheques,that cheque,4.75,1.785
these interests,that venture,1.5,0.5
these leagues,all committees,3,1.225
those desires,every desire,3.5,2.5
four photographers,these manufacturers,2,1.225
two kingdoms,two dates,1.5,0.5
these jets,these ships,2.25,1.299
this moment,that household,1,0
that club,every branch,1.25,0.433
this occasion,that cloud,1.25,0.433
two buses,two ferries,1,0
all houses,every party,1.75,1.299
three moments,that day,2.5,1.118
those chairs,this chair,3,1.871
four licences,this assignment,1.25,0.433
this passion,that passion,4.25,2.046
three checks,three shares,2,1.732
this allocation,that licence,1.75,0.829
all departments,all cars,1.5,0.866
this parish,every village,2,1.732
all buses,every ball,1.75,1.299
this law,this obligation,1.75,1.299
these licences,these buses,1,0
three jets,four cars,1.25,0.433
those desires,those shares,2.75,2.046
every county,every kingdom,2,1.732
three cities,these kingdoms,1.5,0.866
every borough,every shire,3.25,0.829
those nations,this nation,4.75,1.639
these households,these cars,1.75,1.299
all phones,every law,1.75,0.829
three weights,that length,1.25,0.433
those parties,this party,3.5,2.062
two shirts,two tankers,3,2.121
these ships,that state,1.25,0.433
these houses,this house,6.5,0.5
those fears,that happiness,1,0
this nation,every nation,4.25,1.785
four phones,four cottages,2.75,2.046
these credits,this income,2,1.225
those incomes,this gain,1.75,1.299
those families,this family,3.25,1.09
three pounds,those pounds,4.5,1.118
four dates,these dates,1.25,0.433
these trucks,that bus,1,0
these agencies,this agency,5.75,0.433
two fighters,four states,1.5,0.866
these days,those boats,2,1.732
this momentum,that fear,1.25,0.433
those pounds,those bottles,2,1.225
two offices,four agencies,2,1.225
four pennies,those dollars,1.25,0.433
these suburbs,every parish,1.25,0.433
these clouds,these boroughs,1.75,0.829
those cities,those states,1.75,1.299
two nations,this nation,3.75,1.92
those restaurants,that castle,1,0
all developers,all makers,3.25,2.487
three moments,four moments,3.75,1.92
that pub,every pub,6,0.707
two cars,four cars,5.75,0.433
two troops,three troops,5.5,1.118
that cow,that dog,1.5,0.866
this land,every village,2.25,1.639
two departments,this department,2.5,1.658
four towns,four constitutions,3.5,1.803
those villages,that parish,1.5,0.5
two clubs,two departments,1.5,0.866
this radio,this state,2.25,1.09
this country,every town,1,0
these gains,these vans,1.25,0.433
those nations,every company,1.5,0.866
all masses,every moment,1.25,0.433
three goats,this dog,2,1.225
four opinions,these drafts,1.75,0.829
those agencies,every branch,2.75,1.785
four rifles,these rifles,4.5,2.062
these credits,these balls,1.75,0.829
this interest,that profit,1,0
